Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,570.889,587.750,578.333,589.750,581.778,587.583,575.250,587.333,568.750,586.250,589.667,579.667,653.500,586.000,619.000,582.500,602.500,576.250,608.778,600.750,586.444,569.750,604.750,593.250,602.750,576.222,601.750,583.889,574.778,573.250,588.000,565,575.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,570.667,565.250,554.667,550.500,562.667,568.250,565.750,573.222,573.000,569.750,560.111,567.333,627.000,565.250,566.750,561.500,555.250,575.500,589.667,597.500,571.444,565.250,561.250,559.000,552.750,565.667,566.500,560.333,565.778,560.750,563.750,584,565.190
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,585.333,574.750,584.556,599.750,572.889,570.417,575.750,580.000,580.000,593.000,571.667,572.444,672.750,573.750,584.500,569.250,593.250,578.250,603.444,597.250,573.444,589.750,595.750,565.500,571.250,572.000,578.500,560.333,583.667,583.750,591.250,591,572.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,558.667,550.000,565.667,564.250,568.000,570.917,565.500,560.111,566.500,567.750,563.889,551.556,611.500,562.000,561.250,558.250,573.000,561.500,581.222,588.750,558.889,548.250,590.750,548.500,543.500,568.444,558.500,563.667,545.333,552.250,579.000,557,566.095
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,558.222,570.000,569.222,580.750,575.222,570.167,570.500,569.667,569.250,563.500,571.111,576.333,617.000,596.750,585.500,556.750,581.500,569.250,606.222,610.250,568.778,580.250,590.500,562.250,585.750,582.889,578.000,560.556,571.111,564.000,577.250,578,561.238
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,562.889,584.000,569.222,563.750,570.222,562.917,568.000,557.333,566.000,571.000,556.889,571.000,641.250,578.750,573.000,565.000,568.750,561.500,619.667,579.500,572.444,562.750,568.750,550.750,559.000,558.222,566.250,562.222,569.778,574.750,576.750,556,564.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,569.222,572.500,553.778,582.750,572.000,574.333,560.500,561.778,565.250,576.500,561.000,564.556,647.000,578.250,616.250,584.500,581.750,575.000,621.889,606.500,581.667,570.750,583.500,567.250,571.250,582.889,582.000,559.889,564.778,563.500,567.750,531,566.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,572.778,588.500,571.444,580.500,576.333,577.667,577.750,571.778,581.000,559.000,550.556,570.000,618.000,565.750,590.000,553.250,561.500,586.500,592.444,624.500,572.444,570.750,582.000,571.500,572.000,564.889,588.250,572.889,567.889,577.000,556.500,559,566.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,571.889,583.250,566.222,559.500,574.111,561.417,575.500,573.667,580.250,568.750,566.222,565.889,608.000,570.250,608.750,569.000,575.500,569.250,588.667,588.000,566.778,555.750,582.500,558.250,561.500,568.222,571.000,557.667,573.000,555.500,575.750,571,565.810
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.333,585.500,574.889,585.000,574.111,572.333,576.000,568.556,561.500,567.250,579.889,578.444,653.500,564.500,601.500,563.500,565.250,576.000,593.444,606.500,580.000,591.750,596.250,570.750,572.000,559.111,597.000,568.556,568.778,568.250,590.000,565,576.333
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,553.667,584.000,560.889,570.250,563.778,565.250,562.500,568.778,571.000,585.250,558.111,561.222,638.500,567.750,580.500,544.000,560.750,559.750,581.333,575.000,553.444,549.750,568.250,559.250,569.250,557.444,548.750,557.333,565.444,558.000,578.000,552,562.952
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,583.111,588.000,583.333,586.250,585.667,586.917,576.500,580.556,582.750,581.500,584.333,584.444,628.000,597.250,593.000,557.000,577.000,576.250,601.667,616.000,579.222,566.500,622.250,578.750,576.750,569.222,588.000,560.556,579.778,587.750,593.000,554,578.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.556,590.250,561.667,564.500,568.778,562.917,564.250,568.778,571.250,558.000,564.556,562.000,617.000,564.750,569.000,561.500,582.750,566.000,576.444,573.750,562.444,549.500,589.250,560.750,578.250,555.556,579.250,550.556,571.333,547.250,563.750,568,562.762
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,577.778,584.500,575.889,576.750,587.444,575.583,580.000,567.222,563.750,575.750,574.222,568.000,651.750,590.000,612.000,568.250,585.000,578.250,618.333,581.750,578.778,575.000,603.500,568.750,587.250,576.444,575.750,570.556,570.333,577.750,566.250,568,576.286
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,565.000,570.500,559.111,571.750,570.444,568.833,561.000,552.333,570.000,580.250,559.667,555.000,604.750,567.750,565.250,563.000,566.500,564.250,582.444,566.000,564.333,555.500,575.000,552.250,569.250,563.778,572.500,549.889,562.556,582.750,555.000,563,557.857
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,559.222,570.750,572.111,582.000,578.000,573.667,567.250,568.000,579.000,570.000,571.778,569.444,633.750,578.750,585.000,566.000,562.250,582.750,602.556,573.000,568.111,579.500,606.500,571.000,570.250,571.778,563.250,565.556,573.444,567.250,586.000,568,569.857
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.444,568.500,568.111,569.750,565.444,579.667,561.000,570.667,592.000,587.000,566.556,566.111,659.750,580.000,587.250,566.750,575.000,558.250,601.222,594.500,565.111,567.000,594.000,559.250,565.250,568.333,577.250,566.444,570.000,588.250,563.500,587,582.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.667,584.500,571.222,569.500,572.111,571.750,574.750,566.333,568.250,586.250,570.444,566.889,629.250,573.500,605.000,568.250,568.750,572.750,599.333,593.000,571.889,552.500,579.000,564.000,577.500,576.778,579.500,561.333,575.556,573.250,569.750,617,561.190
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,576.333,590.750,580.778,581.500,576.000,580.833,564.750,577.111,569.750,590.000,580.444,570.556,629.000,584.750,612.250,568.750,571.500,595.250,602.111,613.250,578.000,570.000,592.000,575.500,579.750,582.556,577.250,562.889,579.667,577.000,576.500,601,576.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,559.667,571.250,563.333,559.750,572.444,578.833,558.500,554.556,570.000,575.750,568.222,560.778,609.000,555.500,579.250,556.250,566.750,563.000,590.222,594.250,572.000,559.250,569.000,545.250,555.750,560.000,580.250,549.667,569.778,563.750,587.500,541,556.810
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,578.000,585.750,580.444,577.500,569.778,581.833,570.000,583.222,580.250,584.750,581.333,583.333,656.750,586.750,586.250,564.750,594.000,565.500,600.667,591.500,573.778,573.000,610.500,558.750,574.000,585.667,558.500,582.667,584.889,559.500,581.500,594,577.810
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,561.000,549.500,547.444,551.250,557.778,559.917,556.250,561.667,575.250,561.000,570.778,562.000,622.250,559.250,599.500,561.000,560.250,566.750,580.556,604.000,549.889,566.250,580.250,553.250,576.500,554.778,564.750,563.667,553.111,565.250,563.250,546,562.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,590.111,567.250,585.222,600.000,575.333,585.583,575.000,577.444,586.000,586.250,572.667,581.111,637.500,567.000,602.250,583.500,580.000,583.250,609.333,617.250,584.222,554.250,579.250,571.500,589.250,575.667,570.750,575.556,580.667,586.000,581.500,570,571.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,565.556,570.750,574.222,561.000,558.889,566.000,568.250,564.333,576.500,571.500,568.556,563.667,595.000,577.500,580.000,565.750,558.500,569.000,579.889,585.500,560.000,570.500,591.500,566.250,569.500,572.556,559.000,554.222,572.333,572.750,574.750,600,557.190
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,570.111,565.750,574.000,588.250,570.222,579.917,578.250,570.222,567.750,579.250,573.889,582.111,641.000,582.750,616.250,553.500,585.000,581.250,614.778,607.250,565.111,579.250,592.750,584.250,575.500,580.000,553.500,564.667,565.556,556.500,587.000,566,570.762
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,568.778,566.250,587.111,566.000,576.889,566.583,570.000,567.556,585.000,564.750,562.889,570.778,631.000,575.250,610.000,574.250,563.750,572.000,593.000,573.250,574.333,559.250,577.000,568.500,572.750,564.889,580.750,567.667,557.444,577.250,568.250,541,562.952
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,572.556,583.500,577.222,561.250,563.222,573.000,583.250,562.222,563.000,587.250,564.111,566.111,611.250,569.000,582.000,561.500,579.250,582.500,603.667,577.500,560.556,566.250,557.000,567.000,563.000,569.222,569.500,568.778,575.778,562.500,573.250,558,564.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,589.000,598.250,575.000,577.000,578.111,578.583,581.500,572.444,568.750,576.750,578.778,575.111,635.000,581.500,579.000,564.000,571.750,571.500,596.667,576.250,562.000,569.000,569.750,570.000,565.250,568.444,558.500,563.778,590.778,561.750,575.500,604,576.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,572.000,571.500,564.778,568.500,579.778,573.333,574.250,554.778,579.000,572.250,566.778,571.778,621.250,564.250,594.500,543.000,565.750,562.250,600.667,577.000,564.556,556.250,557.250,556.250,576.500,566.556,589.000,557.778,568.444,558.000,578.500,567,559.857
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,579.778,581.000,584.778,585.500,592.000,584.250,564.250,572.889,573.500,594.000,587.444,574.444,636.500,581.000,594.000,557.750,605.000,570.250,616.444,593.750,585.556,554.000,580.250,572.750,573.750,573.222,580.750,570.556,578.000,564.250,584.250,603,575.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,563.889,549.000,566.333,545.750,559.556,568.833,555.000,552.889,560.250,572.500,555.222,556.778,625.500,564.500,579.250,544.250,574.000,561.000,583.222,557.250,564.444,543.000,539.750,552.500,550.000,553.556,556.000,561.111,550.667,552.250,571.750,558,565.429
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,582.000,579.750,578.222,579.500,573.556,582.500,582.500,585.778,577.500,592.750,578.333,574.222,667.750,574.000,593.000,593.750,571.500,578.750,625.222,575.500,589.778,571.750,570.750,584.250,588.000,570.889,578.500,576.889,568.778,584.500,581.000,566,572.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.778,564.250,564.222,557.750,562.444,571.917,562.250,568.778,575.750,558.000,563.222,557.889,603.000,580.000,549.000,576.000,565.250,573.500,591.667,581.000,580.778,566.750,557.250,556.250,580.750,569.000,581.000,558.444,560.667,547.750,572.500,552,555.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,576.778,607.250,572.333,562.750,572.778,579.167,584.500,569.889,583.750,574.000,569.333,571.111,614.750,577.750,582.000,559.250,576.750,577.250,596.778,567.750,574.444,563.250,563.250,575.000,573.500,566.667,554.000,561.667,590.333,572.000,577.250,566,567.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,572.222,599.750,580.778,570.000,566.778,572.167,577.250,563.667,560.500,559.500,560.000,554.556,618.250,571.250,569.000,571.000,582.750,566.250,574.111,575.500,568.222,571.000,559.250,562.250,571.250,563.778,560.000,564.333,576.333,559.000,564.500,561,569.000
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.778,596.750,581.667,575.000,575.444,581.500,588.000,568.000,573.750,574.000,560.889,572.000,631.750,571.500,571.250,580.750,576.000,596.000,591.444,570.750,568.333,575.250,566.000,584.500,592.000,579.556,579.750,569.333,588.000,568.500,585.250,577,568.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,575.444,572.000,582.889,564.000,577.556,584.583,566.250,571.556,580.500,548.500,576.889,563.667,622.500,571.250,564.000,567.500,570.250,550.500,601.889,570.750,568.111,587.000,571.500,597.250,584.750,574.111,569.250,566.333,570.889,576.750,564.000,590,567.333
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,577.889,568.750,574.667,565.250,576.556,567.500,565.000,554.889,550.500,579.750,561.556,564.333,615.750,570.500,566.500,557.250,568.250,568.250,574.000,574.500,564.444,562.500,559.500,574.750,553.000,566.333,568.250,556.000,557.222,563.000,553.000,591,563.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,569.111,592.250,580.444,570.000,572.778,576.833,578.000,584.333,565.750,583.500,571.000,573.111,604.000,572.250,574.250,567.000,559.500,582.250,612.111,576.750,578.667,578.250,565.000,571.000,568.750,569.889,573.750,573.000,572.778,564.250,573.000,595,577.190
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,560.444,555.500,575.778,555.000,572.556,558.000,573.250,563.556,574.250,578.250,561.000,561.556,603.000,559.500,550.750,556.000,546.250,575.500,568.333,553.000,567.667,549.250,547.500,550.750,559.250,547.667,558.000,557.778,560.111,549.500,568.250,549,565.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,585.778,588.750,580.778,573.250,583.000,568.583,591.500,586.889,586.500,592.750,579.222,581.111,618.000,576.750,579.500,588.750,584.750,594.250,594.111,587.750,581.556,565.500,581.750,580.750,575.750,572.667,549.000,575.333,577.889,576.000,583.750,562,578.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,571.333,552.750,563.444,577.250,562.222,571.500,556.500,556.778,571.500,561.000,561.556,565.889,581.250,575.250,564.000,552.750,561.750,563.250,574.889,574.500,560.111,565.250,579.500,557.250,541.000,565.667,567.500,556.222,561.222,565.000,556.750,547,562.095
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,574.889,580.250,574.333,596.000,577.000,569.500,571.500,579.556,580.000,553.250,597.111,574.000,654.250,583.750,591.250,580.500,578.250,589.750,584.333,577.000,577.778,574.250,563.000,574.500,582.750,571.111,566.000,559.000,572.889,565.000,589.750,553,579.190
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,560.556,574.500,556.222,553.000,566.889,562.750,572.500,571.778,547.000,550.500,567.444,572.778,604.750,559.750,581.750,559.500,562.000,560.750,572.000,563.500,561.333,564.500,552.250,560.750,568.000,569.778,562.000,543.889,570.778,562.250,570.000,573,571.286
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,568.333,563.000,578.444,582.250,567.556,573.167,557.500,555.556,562.500,571.750,571.889,556.222,626.250,565.750,568.750,575.750,565.250,573.750,575.667,559.000,569.000,569.750,553.750,565.000,562.250,567.000,585.000,560.222,563.444,574.500,586.000,588,573.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,569.667,568.250,578.333,574.500,557.222,571.000,567.000,561.444,570.000,588.250,564.000,565.889,598.500,564.000,569.250,572.750,569.000,563.000,573.444,567.750,565.333,564.500,549.000,548.250,568.750,556.000,576.000,560.889,565.556,565.500,578.000,552,567.762
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,571.333,565.500,562.889,573.500,567.778,566.583,573.500,571.222,564.000,577.500,553.444,555.111,588.500,562.750,548.250,559.500,559.500,561.250,592.000,571.000,569.556,574.000,570.000,564.250,566.500,578.222,553.500,561.333,557.778,554.750,566.500,567,568.333
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,577.000,573.750,570.889,563.250,572.667,577.167,588.000,565.778,578.250,576.250,576.556,560.000,614.500,576.750,563.500,577.500,578.500,567.500,591.444,557.250,577.667,574.000,568.250,576.750,561.500,578.778,563.000,566.111,576.667,568.000,578.000,600,576.238
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,558.333,575.500,566.111,557.500,573.111,573.417,559.000,559.778,565.250,576.750,567.667,562.333,594.750,543.250,561.500,564.000,569.750,550.000,573.778,566.750,559.222,557.500,551.000,542.000,564.500,559.667,550.750,550.889,568.556,550.250,558.250,588,564.810
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.778,584.500,583.000,578.750,578.000,578.083,577.500,577.556,561.750,579.250,577.667,569.444,626.250,590.250,564.000,571.250,601.500,580.750,593.889,569.000,573.889,575.750,578.000,562.250,568.750,569.333,577.250,575.333,578.444,584.000,595.000,571,576.810
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,571.000,573.750,559.889,565.750,557.222,562.917,556.250,554.333,568.250,551.000,561.444,559.667,595.250,563.250,543.000,556.500,580.500,563.500,577.222,559.250,573.778,564.500,564.750,555.250,566.750,566.111,568.750,557.111,560.556,545.750,575.750,588,565.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,595.111,590.500,596.778,585.750,582.556,577.583,593.750,576.556,572.500,585.250,583.000,583.222,642.250,577.250,586.500,579.000,598.000,588.750,616.222,578.000,573.000,583.750,588.750,575.250,584.750,591.444,585.000,567.222,592.778,585.250,599.750,572,582.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,558.667,562.000,575.333,558.500,570.778,570.000,568.750,568.000,565.750,563.000,556.778,562.111,592.500,566.000,555.250,563.750,565.500,571.000,581.667,562.250,557.111,564.000,560.500,547.250,570.000,563.444,571.000,552.556,567.333,557.750,584.750,581,561.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,577.778,593.000,571.333,581.250,582.333,582.583,598.000,583.111,583.500,572.500,575.111,571.111,621.250,573.500,581.750,572.750,591.250,568.750,602.111,588.500,576.889,568.500,566.750,565.250,581.500,577.333,583.500,573.000,579.111,568.750,581.250,563,571.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,565.667,555.500,569.444,564.500,569.556,567.333,581.500,576.111,569.500,562.500,567.556,565.667,594.750,555.750,579.250,564.500,562.500,569.750,580.778,578.000,574.222,578.500,557.500,559.250,567.750,565.556,554.000,551.889,561.333,562.000,570.000,613,567.762
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,563.222,562.750,565.222,569.000,566.000,568.500,561.500,561.222,571.500,577.250,567.000,562.444,616.250,571.750,591.750,580.000,576.250,562.500,580.444,566.250,561.000,562.250,571.000,561.500,583.250,562.444,592.750,564.000,555.778,564.250,576.750,568,565.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,569.222,563.250,573.000,564.250,572.000,576.500,570.250,565.667,579.500,576.750,570.889,569.444,612.750,550.000,563.250,578.500,578.750,602.000,592.778,564.250,586.444,585.000,567.250,569.000,567.750,561.333,568.000,568.667,563.111,554.000,565.250,534,578.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,566.111,569.000,571.556,556.750,565.889,573.000,577.000,558.222,558.500,572.500,558.889,568.778,581.750,553.750,572.750,564.000,560.750,568.750,583.778,562.000,557.778,560.000,549.000,561.750,553.250,579.111,558.250,553.111,562.889,555.750,564.500,577,553.190
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,580.778,568.000,572.556,570.250,577.778,588.583,595.750,571.222,596.250,582.750,561.333,583.778,625.500,589.000,579.000,589.250,579.250,570.000,593.667,589.750,579.778,577.000,574.500,584.500,570.750,587.889,562.000,575.889,578.333,575.500,591.500,628,579.667
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,558.667,570.000,555.667,549.750,558.333,562.000,567.750,561.000,556.500,562.250,562.778,559.778,601.250,555.250,573.750,566.500,550.000,569.750,576.778,568.500,551.667,547.250,561.500,556.250,565.000,556.333,552.000,555.222,562.111,549.750,556.250,550,560.762
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,572.667,580.000,583.222,577.750,581.222,582.083,586.500,571.889,593.500,582.500,578.222,570.778,647.750,578.500,578.000,569.500,581.500,568.500,633.222,581.500,585.333,563.250,573.500,565.750,558.750,580.333,580.500,566.444,565.111,569.750,588.500,569,577.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,569.000,577.000,569.111,567.250,569.889,562.333,553.500,563.556,566.250,580.000,559.556,569.222,638.250,567.500,577.250,553.500,566.750,556.750,588.333,565.000,564.111,560.750,547.250,563.250,563.250,558.889,565.000,565.889,567.111,577.250,565.000,589,567.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.444,594.250,574.000,577.250,583.222,586.833,569.500,576.333,574.250,570.500,575.667,581.667,650.500,591.500,590.000,554.250,585.000,585.250,606.000,567.500,565.556,554.500,579.250,555.250,577.750,562.667,560.000,576.444,578.667,556.750,585.000,587,572.190
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,568.556,558.750,573.444,567.250,566.333,567.333,556.250,561.667,567.250,564.000,561.556,571.667,593.750,567.750,579.750,590.500,565.750,589.000,580.000,570.750,577.778,557.250,567.250,566.750,558.250,563.222,572.250,551.778,563.667,561.000,578.250,571,558.286
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,566.556,564.750,578.556,581.250,580.444,576.417,572.500,577.111,570.000,561.500,575.222,571.556,628.000,567.750,580.250,575.000,576.500,578.750,593.222,581.500,570.667,581.500,558.750,578.750,582.500,569.000,563.750,562.444,560.444,550.250,587.250,599,571.238
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,578.333,573.000,571.333,562.500,566.889,564.250,592.250,563.889,551.250,578.750,568.889,573.444,620.750,576.000,595.750,575.750,579.000,566.750,613.222,584.750,575.333,555.500,554.750,560.000,585.500,561.889,559.500,560.889,569.444,563.000,577.000,573,568.000
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,563.444,590.750,584.444,562.500,569.333,569.500,572.250,571.667,572.250,577.250,575.111,567.333,619.500,566.500,551.500,568.500,564.500,545.750,585.333,562.000,568.889,564.750,560.500,570.500,575.750,564.111,589.750,562.556,574.667,548.750,578.000,570,557.000
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,574.667,577.250,568.000,568.500,570.222,597.750,579.250,582.556,575.750,573.000,569.556,569.444,644.750,582.250,584.750,572.750,565.750,576.750,587.444,579.750,565.889,594.250,573.750,573.750,574.000,580.889,571.250,579.222,582.778,579.000,586.000,589,569.952
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,561.222,556.750,543.444,569.500,561.889,565.250,559.750,559.111,554.500,560.250,561.333,563.444,590.000,568.500,557.500,560.250,576.750,582.500,593.889,568.750,553.222,580.750,544.250,572.500,548.500,565.778,574.750,550.111,556.333,557.000,558.750,555,558.238
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.222,606.750,590.556,590.750,587.778,591.333,590.000,579.889,591.750,581.250,587.000,574.778,646.750,601.250,582.250,569.000,562.500,568.250,607.778,587.750,579.556,571.500,579.250,583.750,584.250,578.111,580.750,578.889,582.000,570.500,598.500,596,574.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.778,571.500,573.444,573.250,580.778,570.167,560.250,560.778,571.750,577.250,586.000,558.111,598.500,557.000,565.000,562.250,586.500,560.750,594.778,566.250,568.667,556.250,554.250,555.500,545.250,563.889,552.750,555.556,560.667,566.750,570.750,564,572.190
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,594.444,581.750,574.111,604.250,581.778,590.250,582.000,573.000,584.250,586.750,577.111,574.444,648.000,582.500,588.750,557.250,583.000,580.500,620.778,575.250,578.222,567.500,581.250,585.250,582.750,570.667,570.500,574.111,573.667,566.500,584.000,595,575.429
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,566.111,573.500,579.556,587.250,555.778,564.083,589.750,561.111,583.000,572.000,568.556,569.000,666.250,577.500,562.500,576.750,568.750,562.750,600.444,567.000,574.222,558.250,573.000,543.250,562.000,562.667,579.250,565.556,563.889,572.500,566.750,578,564.429
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,567.000,584.750,580.667,572.250,563.000,574.500,584.000,574.667,577.000,572.500,573.667,562.222,626.250,574.500,573.250,560.500,566.500,581.750,600.333,597.250,568.556,582.750,564.250,588.250,592.250,579.333,590.000,567.556,576.889,570.250,566.750,560,569.762
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,576.222,555.750,571.444,571.500,578.111,568.833,569.750,566.333,581.250,573.500,572.222,569.222,620.750,572.750,576.500,571.500,582.500,588.000,576.778,576.250,555.556,573.250,552.500,548.500,565.750,575.222,547.500,578.556,563.333,565.000,574.500,568,567.000
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.111,578.000,572.889,567.750,570.556,580.250,563.500,560.667,572.500,584.500,567.556,578.667,624.000,570.000,581.750,560.250,569.250,561.250,594.111,566.750,567.444,572.500,570.500,555.000,574.000,569.556,590.000,564.667,574.778,570.500,574.750,606,570.667
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,577.444,591.000,565.667,583.250,581.889,581.750,573.250,576.111,577.500,580.500,579.556,580.444,624.750,569.750,588.000,564.000,573.750,586.750,615.556,583.250,581.889,568.500,564.250,571.250,549.500,568.667,584.750,578.556,582.778,581.750,569.250,584,576.095
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,565.556,561.000,561.556,566.250,562.222,573.333,569.500,552.333,563.750,570.500,565.111,570.000,578.000,549.250,573.500,555.000,574.750,567.500,582.333,559.750,557.667,565.500,546.000,559.250,561.000,555.889,551.750,562.222,552.333,555.000,557.000,571,561.952
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,580.556,588.000,574.556,581.750,588.556,579.083,585.250,583.889,566.000,596.500,586.556,576.556,606.000,586.000,577.500,562.000,583.000,596.000,632.667,590.250,578.333,575.500,576.750,570.000,555.250,581.889,574.750,567.333,575.000,574.000,604.500,579,583.333
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,566.222,565.000,571.000,571.500,566.222,573.083,565.250,567.333,551.000,561.750,556.111,560.667,596.000,575.500,573.000,562.500,566.750,561.250,575.000,580.250,567.111,555.750,554.500,555.750,552.750,574.111,577.750,550.444,561.556,552.750,566.250,563,557.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.333,599.750,571.222,572.000,574.667,573.083,591.750,572.778,568.750,581.750,564.889,569.333,626.250,569.500,589.500,571.750,582.250,586.250,630.222,602.500,591.556,572.000,572.000,567.750,582.250,570.000,572.250,576.889,583.333,580.250,589.500,578,575.429
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,571.000,582.750,568.000,552.750,569.333,563.750,575.250,554.889,557.000,557.000,569.667,567.778,622.250,570.000,560.750,549.750,571.250,565.750,570.444,559.250,563.667,566.000,557.500,566.250,566.750,559.333,562.250,561.778,571.111,554.250,573.250,573,557.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,570.667,577.000,586.333,562.250,574.889,583.083,564.250,567.333,558.750,581.000,564.444,584.333,644.500,564.750,595.250,574.250,594.000,562.750,593.333,560.500,579.889,566.000,558.000,555.750,586.750,564.778,566.500,558.444,560.333,554.000,570.750,607,568.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,562.889,560.000,566.444,552.750,572.667,574.250,571.000,558.889,561.250,557.250,576.111,574.000,608.250,571.750,569.500,550.500,562.500,556.500,597.556,573.500,565.444,554.250,565.500,577.250,556.000,567.000,567.750,560.333,560.667,561.250,570.750,577,566.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,571.778,565.000,561.000,580.250,571.556,569.167,567.500,563.444,590.500,577.000,567.889,561.000,622.000,555.750,570.750,568.250,568.000,574.750,588.889,599.000,573.000,566.000,559.500,565.500,565.750,562.667,560.250,560.889,564.333,554.000,562.750,552,572.571
